#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#group,false,false,true,true,false,false,false,false,false,false,false,false
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,name,path,pid,tid
,,0,2023-05-24T12:09:36.125542065Z,2023-05-31T12:09:36.125542065Z,2023-05-30T04:22:45.922840189Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),/home/nilsd/nextflow/build/work/8f/8c61208d29ef748f714237c2e65e7e/.command.trace,3278357,6390
,,0,2023-05-24T12:09:36.125542065Z,2023-05-31T12:09:36.125542065Z,2023-05-30T04:22:46.03981375Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),/home/nilsd/nextflow/build/work/8f/8c61208d29ef748f714237c2e65e7e/strelka,3278357,6390
,,0,2023-05-24T12:09:36.125542065Z,2023-05-31T12:09:36.125542065Z,2023-05-30T04:22:46.043247489Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),/home/nilsd/nextflow/build/work/8f/8c61208d29ef748f714237c2e65e7e/strelka/results,3278357,6390
,,0,2023-05-24T12:09:36.125542065Z,2023-05-31T12:09:36.125542065Z,2023-05-30T04:22:46.046023157Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),/home/nilsd/nextflow/build/work/8f/8c61208d29ef748f714237c2e65e7e/strelka/workspace,3278357,6390
,,0,2023-05-24T12:09:36.125542065Z,2023-05-31T12:09:36.125542065Z,2023-05-30T04:22:46.049059973Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),/home/nilsd/nextflow/build/work/8f/8c61208d29ef748f714237c2e65e7e/strelka/results/variants,3278357,6390
,,0,2023-05-24T12:09:36.125542065Z,2023-05-31T12:09:36.125542065Z,2023-05-30T04:22:46.051551642Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),/home/nilsd/nextflow/build/work/8f/8c61208d29ef748f714237c2e65e7e/strelka/results/stats,3278357,6390
,,0,2023-05-24T12:09:36.125542065Z,2023-05-31T12:09:36.125542065Z,2023-05-30T04:22:46.054050322Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),/home/nilsd/nextflow/build/work/8f/8c61208d29ef748f714237c2e65e7e/strelka/results,3278357,6390
,,0,2023-05-24T12:09:36.125542065Z,2023-05-31T12:09:36.125542065Z,2023-05-30T04:22:46.055960152Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),/home/nilsd/nextflow/build/work/8f/8c61208d29ef748f714237c2e65e7e/strelka/results/variants,3278357,6390
,,0,2023-05-24T12:09:36.125542065Z,2023-05-31T12:09:36.125542065Z,2023-05-30T04:22:46.057939965Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),/home/nilsd/nextflow/build/work/8f/8c61208d29ef748f714237c2e65e7e/strelka/results/stats,3278357,6390
,,0,2023-05-24T12:09:36.125542065Z,2023-05-31T12:09:36.125542065Z,2023-05-30T04:22:46.059842525Z,CREATE,file_event,NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),NFCORE_SAREK:SAREK:BAM_VARIANT_CALLING_TUMOR_ONLY_ALL:BAM_VARIANT_CALLING_SINGLE_STRELKA:STRELKA_SINGLE (SRR11452492) (6390),/home/nilsd/nextflow/build/work/8f/8c61208d29ef748f714237c2e65e7e/strelka/results/stats,3278357,6390
